NAME_LAT,KOATUU_RAY,longitude,latitude,KOATUU
Novokrasnianka,4421600000,38.27,49.137,4421685401
Komsomolskyi,4412700000,39.647,48.124,4412746000
Holubivske,4423800000,38.64,48.69,4423881501
Lutuhyne,4422200000,39.211,48.396,4422210100
Kovalivka,4424000000,38.016,49.326,4424081501
Verkhnoshevyrivka,4421400000,39.716,48.269,4421482201
Vesela Hora,4424500000,39.247,48.708,4424581101
Vesela Tarasivka,4422200000,39.109,48.53,4422281101
Vyshneve,4425100000,39.091,49.245,4425180601
Zaaidarivka,4423300000,39.103,49.559,4423381501
Illiriia,4422200000,38.992,48.403,4422282201
Novolymarivka,4420600000,39.602,49.278,4420688901
Oleksandropil,4420900000,38.851,49.689,4420981001
Oleksiivka,4420900000,38.762,49.421,4420981501
Nova Astrakhan,4421600000,38.607,49.126,4421684301
Lyzyne,4420900000,38.85,49.547,4420986601
Novooleksandrivka,4425400000,38.139,49.784,4425483001
Bobrykove,4420300000,39.225,47.932,4420381101
Vivcharove,4425400000,38.624,49.841,4425484001
Yesaulivka,4420300000,39.022,48.049,4420355300
Zakotne,4423300000,38.979,49.468,4423382001
Novookhtyrka,4423100000,38.808,48.912,4423185601
Novorozsosh,4423300000,39.234,49.528,4423384001
Lozivskyi,4424500000,38.882,48.564,4424555400
Demianivka,4420900000,38.571,49.527,4420983401
Vesele,4425100000,39.179,49.301,4425180301
Vesniane,4424500000,38.707,48.639,4424581401
Frunze,4424500000,38.746,48.669,4424556200
Zorykivka,4422800000,39.84,49.413,4422882201
Kabychivka,4422500000,39.738,49.461,4422583301
Makiivka,4421600000,37.991,49.228,4421682201
Petrovske,4411600000,38.874,48.29,4411670900
Mykolaivka,4424800000,39.518,48.589,4424884001
Mykhailivka,4421600000,38.565,49.11,4421682601
Oleksiivka,4423100000,39.178,49.015,4423180501
Orikhivka,4422200000,39.198,48.284,4422284401
Pobieda,4423100000,39.105,49.045,4423186201
Neshcheretove,4420900000,38.809,49.406,4420986901
Pershozvanivka,4422200000,39.422,48.339,4422285501
Petrivka,4423600000,38.805,48.527,4423683301
